ReleaseNumber|Code|TextSingular|TextPlural
27|1|ampul|ampuller
27|2|applikatordosis|applikatordoser
27|3|beholder|beholdere
27|4|brev|breve
27|5|brusetablet|brusetabletter
27|6|dosis|doser
27|7|dråbe|dråber
27|8|engangssprøjte|engangssprøjter
27|9|enhed|enheder
27|10|flaske|flasker
27|11|gram|gram
27|12|hætteglas|hætteglas
27|13|IE|IE
27|14|implantat|implantater
27|15|indgnidning|indgnidninger
27|16|inhalationskapsel|inhalationskapsler
27|17|injektionspen|injektionspenne
27|18|injektionssprøjte|injektionssprøjter
27|19|kapsel|kapsler
27|20|mg|mg
27|21|mikrogram|mikrogram
27|22|ml|ml
27|23|måleske|måleskeer
27|24|pensling|penslinger
27|25|plaster|plastre
27|26|pump|pump
27|27|pust|pust
27|28|påføring|påføringer
27|29|påsmøring|påsmøringer
27|30|rektal stikpille|rektale stikpiller
27|31|rektaltube|rektaltuber
27|32|resoriblet|resoribletter
27|33|spiral|spiraler
27|34|sprøjte til munden|sprøjter til munden
27|35|stribe|striber
27|36|sug|sug
27|37|sugetablet|sugetabletter
27|38|sæt breve A+B|sæt breve A+B
27|39|tablet|tabletter
27|40|tyggegummi|tyggegummier
27|41|tyggetablet|tyggetabletter
27|42|vaginalindlæg|vaginalindlæg
27|43|vaginaltablet|vaginaltabletter
27|44|vagitorie|vagitorier
27|45|vask|vask
