DrugID|Navn|Ental|Flertal
28104623109|Betnovate|påsmøring|påsmøringer
28105010412|Betnovate|påsmøring|påsmøringer
28105182212|Betnovat med chinoform|påsmøring|påsmøringer
28103850705|Asasantin Retard|kapsel|kapsler
28104370408|Persantin Retard|kapsel|kapsler
28104694410|Galantamin "Actavis"|kapsel|kapsler
28104694510|Galantamin "Actavis"|kapsel|kapsler
28104789910|Tolterodin "Mylan"|kapsel|kapsler
28104790010|Tolterodin "Mylan"|kapsel|kapsler
28104892111|Tolterodintartrat "Actavis"|kapsel|kapsler
28104892211|Tolterodintartrat "Actavis"|kapsel|kapsler
28105243413|Galantamin "2care4"|kapsel|kapsler
28101476991|Evorel|plaster|plastre
28101585794|Evorel|plaster|plastre
28101585894|Evorel|plaster|plastre
28101750795|Evorel|plaster|plastre
28104554209|Lafene|plaster|plastre
28104554309|Lafene|plaster|plastre
28104554409|Lafene|plaster|plastre
28104596109|Systen Conti|plaster|plastre
28104809010|Lafene|plaster|plastre
28103438602|Doxazosin "Orifarm"|tablet|tabletter
28105232413|Depakine Chrono|tablet|tabletter
28105472614|Isoptin SR|tablet|tabletter
28101758795|Pentasa|tablet|tabletter
28103646304|Levodopa/carbidopa "Teva"|tablet|tabletter
28103960506|Oxycodonhydrochlorid "Teva"|tablet|tabletter
28103960606|Oxycodonhydrochlorid "Teva"|tablet|tabletter
28104085107|Metoratio|tablet|tabletter
28104183507|Oxycodone "Sandoz"|tablet|tabletter
28104183607|Oxycodone "Sandoz"|tablet|tabletter
28104183707|Oxycodone "Sandoz"|tablet|tabletter
28104187707|Requip Depot|tablet|tabletter
28104187907|Requip Depot|tablet|tabletter
28104188007|Requip Depot|tablet|tabletter
28104280908|Metoprololsuccinat "Teva"|tablet|tabletter
28104421308|Mirapexin|tablet|tabletter
28104457108|Oxycodone "Orifarm"|tablet|tabletter
28104457208|Oxycodone "Orifarm"|tablet|tabletter
28104457408|Oxycodone "Orifarm"|tablet|tabletter
28104475209|Seroquel SR|tablet|tabletter
28104512509|Alzen SR|tablet|tabletter
28104512709|Alzen SR|tablet|tabletter
28104635309|Ropinirol "Teva"|tablet|tabletter
28104807510|Adalat LA|tablet|tabletter
28104890811|Oxycodone "Sandoz"|tablet|tabletter
28104890911|Oxycodone "Sandoz"|tablet|tabletter
28104891011|Oxycodone "Sandoz"|tablet|tabletter
28105005212|Timonil Retard|tablet|tabletter
28105372214|Amoxicillin "Copharma"|tablet|tabletter
28103713004|Lansoprazol "ratiopharm"|kapsel|kapsler
28104686810|Esomeprazol "Teva"|tablet|tabletter
28105409614|Esomeprazol "Copharma"|tablet|tabletter
28104385708|Pantoprazol "Pensa"|tablet|tabletter
