ReleaseNumber|Code|TextSingular|TextPlural
34|1|ampul|ampuller
34|2|applikatordosis|applikatordoser
34|3|beholder|beholdere
34|4|brev|breve
34|5|brusetablet|brusetabletter
34|6|dosis|doser
34|7|dråbe|dråber
34|8|engangssprøjte|engangssprøjter
34|9|enhed|enheder
34|10|flaske|flasker
34|11|gram|gram
34|12|hætteglas|hætteglas
34|13|IE|IE
34|14|implantat|implantater
34|15|indgnidning|indgnidninger
34|16|inhalationskapsel|inhalationskapsler
34|17|injektionspen|injektionspenne
34|18|injektionssprøjte|injektionssprøjter
34|19|kapsel|kapsler
34|20|mg|mg
34|21|mikrogram|mikrogram
34|22|ml|ml
34|23|måleske|måleskeer
34|24|pensling|penslinger
34|25|plaster|plastre
34|26|pump|pump
34|27|pust|pust
34|28|påføring|påføringer
34|29|påsmøring|påsmøringer
34|30|rektal stikpille|rektale stikpiller
34|31|rektaltube|rektaltuber
34|32|resoriblet|resoribletter
34|33|spiral|spiraler
34|34|sprøjte til munden|sprøjter til munden
34|35|stribe|striber
34|36|sug|sug
34|37|sugetablet|sugetabletter
34|38|sæt breve A+B|sæt breve A+B
34|39|tablet|tabletter
34|40|tyggegummi|tyggegummier
34|41|tyggetablet|tyggetabletter
34|42|vaginalindlæg|vaginalindlæg
34|43|vaginaltablet|vaginaltabletter
34|44|vagitorie|vagitorier
34|45|vask|vask
